Model,Learning Rate,Batch Size,Optimizer,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
ResNet-18,0.1,32,SGD,1,1.89044282,30.3,1.581534525,41.77
ResNet-18,0.1,32,SGD,2,1.374597868,49.5325,1.504056625,48.28
ResNet-18,0.1,32,SGD,3,1.015435645,64.145,1.070389585,62.34
ResNet-18,0.1,32,SGD,4,0.866943852,70.01,1.12391695,62.88
ResNet-18,0.1,32,SGD,5,0.79551857,72.4075,0.946561501,68.26
ResNet-18,0.1,32,SGD,6,0.767105684,73.6625,0.896545,68.79
ResNet-18,0.1,32,SGD,7,0.738687011,74.6275,0.838801397,71.97
ResNet-18,0.1,32,SGD,8,0.718796345,75.4325,0.90535006,70.49
ResNet-18,0.1,32,SGD,9,0.703199495,75.73,0.768963437,73.33
ResNet-18,0.1,32,SGD,10,0.691521538,76.06,0.951898105,68.5
ResNet-18,0.1,32,SGD,11,0.678397414,76.855,0.658828504,77.35
ResNet-18,0.1,32,SGD,12,0.674781613,76.6475,0.950583865,66.36
ResNet-18,0.1,32,SGD,13,0.667544882,77.255,0.875963151,70.37
ResNet-18,0.1,32,SGD,14,0.658774023,77.2075,0.795624408,72.71
ResNet-18,0.1,32,SGD,15,0.656162405,77.5975,1.028565928,67.5
ResNet-18,0.1,32,Adam,1,2.162116885,21.1275,3.494471734,18.14
ResNet-18,0.1,32,Adam,2,2.05154076,22.9275,3.339087241,14.33
ResNet-18,0.1,32,Adam,3,2.078789975,22.1575,7.761578732,10
ResNet-18,0.1,32,Adam,4,2.133165329,20.125,2.457958467,9.93
ResNet-18,0.1,32,Adam,5,2.075711143,20.86,2.788601727,15.48
ResNet-18,0.1,32,Adam,6,2.030217865,22.8425,14.88109732,10
ResNet-18,0.1,32,Adam,7,2.086342271,20.3575,2.578794892,10.32
ResNet-18,0.1,32,Adam,8,2.158401634,18.035,282.0518927,10
ResNet-18,0.1,32,Adam,9,2.190321952,17.71,4.050802751,9.28
ResNet-18,0.1,32,Adam,10,2.196037481,17.635,7.626687303,10
ResNet-18,0.1,32,Adam,11,2.205825621,17.3225,9.609572291,6.67
ResNet-18,0.1,32,Adam,12,2.173171986,18.0075,7.740021348,13.01
ResNet-18,0.1,32,Adam,13,2.194302077,17.7975,2.254801714,14.39
ResNet-18,0.1,32,Adam,14,2.181986166,17.965,2.900765505,12.78
ResNet-18,0.1,32,Adam,15,2.190197592,17.5225,2.533109281,15.93
ResNet-18,0.1,64,SGD,1,2.115339318,25.435,1.797405183,34.12
ResNet-18,0.1,64,SGD,2,1.582291654,41.5625,1.43726469,46.77
ResNet-18,0.1,64,SGD,3,1.305894222,52.24,1.29178805,54.32
ResNet-18,0.1,64,SGD,4,1.026625846,63.365,0.983300571,65.88
ResNet-18,0.1,64,SGD,5,0.808842367,71.8775,0.973538387,65.53
ResNet-18,0.1,64,SGD,6,0.702773795,75.6275,0.797569531,72.58
ResNet-18,0.1,64,SGD,7,0.654550406,77.46,0.818692056,72.27
ResNet-18,0.1,64,SGD,8,0.611452749,78.87,0.820592875,72.34
ResNet-18,0.1,64,SGD,9,0.58511321,79.92,0.68033961,76.98
ResNet-18,0.1,64,SGD,10,0.561093071,80.675,0.801741923,71.96
ResNet-18,0.1,64,SGD,11,0.54464129,81.315,0.746904918,73.58
ResNet-18,0.1,64,SGD,12,0.52752821,82.07,0.849597396,72.53
ResNet-18,0.1,64,SGD,13,0.51689712,82.1975,0.729669579,75.39
ResNet-18,0.1,64,SGD,14,0.502902405,82.6,0.670828423,76.78
